python : RiskManager initialized with 18 rules
En línea: 1 Carácter: 1
+ python tools/run_calibration_2B.py --mode quick --max-combinations 3  ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (RiskManager initialized with 18 rules:St 
   ring) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
2025-12-21 22:18:13,309 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,310 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,310 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,310 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,311 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,311 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,311 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,311 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,311 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,312 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,312 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,313 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,313 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,313 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,314 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,314 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,314 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,315 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,315 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:13,315 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
